id,title,field_first_name,field_second_name,field_gender,field_birth_date,field_health_center,field_birth_date_estimated,field_hmis_number,field_marital_status,field_education_level,field_ubudehe,field_province,field_district,field_sector,field_cell,field_village,field_hiv_status,field_mode_of_delivery,field_number_of_children,field_photo,field_national_id_number,field_phone_number,created
6,Iradukunda Ariella,Ariella,Iradukunda,female,1995-12-31,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-4.jpg,1199270191140870,0715230791,1592244289
7,Iradukunda Ines,Ines,Iradukunda,female,1997-01-31,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-6.jpg,1199270169413318,0736367855,1592244289
8,Iradukunda Anaelle,Anaelle,Iradukunda,female,1998-05-01,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-1.jpg,1199270146688201,0757075470,1592244289
9,Iradukunda Queen,Queen,Iradukunda,female,1995-02-04,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-4.jpg,1199270150299749,0755178288,1592244289
10,Iradukunda Daniella,Daniella,Iradukunda,female,1987-02-02,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-1.jpg,1199270160646472,0799313463,1592244289
11,Iradukunda Ingrid,Ingrid,Iradukunda,female,1988-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-1.jpg,1199270108389689,0794020065,1592244289
12,Iradukunda Itta,Itta,Iradukunda,female,1992-02-05,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-5.jpg,1199270147488387,0740073153,1592244289
13,Iradukunda Stecy,Stecy,Iradukunda,female,1984-01-04,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-1.jpg,1199270177064822,0767195995,1592244289
14,Iradukunda Olga,Olga,Iradukunda,female,1988-03-02,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-4.jpg,1199270139474109,0785240209,1592244289
15,Iradukunda Gossy,Gossy,Iradukunda,female,1997-02-04,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-7.jpg,1199270177043676,0732617717,1592244289
16,Iradukunda Elisa,Elisa,Iradukunda,female,1996-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-2.jpg,1199270165189445,0732791465,1592244289
17,Iradukunda Ange,Ange,Iradukunda,female,1987-08-08,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-3.jpg,1199270164106295,0792737254,1592244289
18,Iradukunda Daenah,Daenah,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-4.jpg,1199270156748774,0742314261,1592244289
19,Iradukunda Benitha,Benitha,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-1.jpg,1199270182863229,0770524757,1592244289
20,Iradukunda Ketsia,Ketsia,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-5.jpg,1199270195589496,0702292633,1592244289
21,Iradukunda Vanessa,Vanessa,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-5.jpg,1199270161687533,0728330760,1592244289
22,Iradukunda Aurore,Aurore,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-2.jpg,1199270164611437,0750134931,1592244289
23,Iradukunda Ollia,Ollia,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-2.jpg,1199270198932578,0717995969,1592244289
24,Iradukunda Orietta,Orietta,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-1.jpg,1199270196649630,0754420701,1592244289
25,Iradukunda Huguette,Huguette,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-7.jpg,1199270141871236,0797740538,1592244289
26,Iradukunda Nadege,Nadege,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-3.jpg,1199270135047259,0756224527,1592244289
27,Iradukunda Nadia,Nadia,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-6.jpg,1199270135931954,0727630285,1592244289
28,Iradukunda Larissa,Larissa,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-6.jpg,1199270149857612,0755725424,1592244289
29,Iradukunda Raissa,Raissa,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-5.jpg,1199270141212843,0754502216,1592244289
30,Iradukunda Vanette,Vanette,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-1.jpg,1199270117823649,0779772875,1592244289
31,Iradukunda Sylvana,Sylvana,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-1.jpg,1199270101906458,0742796400,1592244289
32,Iradukunda Kendra,Kendra,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-7.jpg,1199270143548826,0708182670,1592244289
33,Iradukunda Ornella,Ornella,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-6.jpg,1199270160910198,0793054549,1592244289
34,Iradukunda Eva,Eva,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-4.jpg,1199270186596412,0774994006,1592244289
35,Iradukunda Annet,Annet,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-2.jpg,1199270115352716,0783344767,1592244289
39,Iradukunda Suzan,Suzan,Iradukunda,female,1992-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-5.jpg,1199270152524946,0744001215,1592244289
40,Iradukunda Alphonsine,Alphonsine,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-1.jpg,1199270125477146,0764763253,1592244289
41,Iradukunda Marcelline,Marcelline,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-1.jpg,1199270122878629,0727518604,1592244289
42,Iradukunda Chantal,Chantal,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-2.jpg,1199270162150684,0723667994,1592244289
43,Iradukunda Agnes,Agnes,Iradukunda,female,1992-01-03,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-1.jpg,1199270171258334,0759330695,1592244289
48,Iradukunda Ernest,Ernest,Iradukunda,male,2018-09-26,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-boy-1.jpg,1199270171756181,0773361653,1592244289
49,Iradukunda Pamela,Pamela,Iradukunda,female,2018-09-30,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-girl-3.jpg,1199270196248618,0756602901,1592244289
50,Iradukunda Arsene,Arsene,Iradukunda,male,2018-07-05,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,baby-boy-4.jpg,1199270170359430,0767265692,1592244289
