id,title,field_first_name,field_second_name,field_gender,field_birth_date,field_health_center,field_birth_date_estimated,field_hmis_number,field_marital_status,field_education_level,field_ubudehe,field_province,field_district,field_sector,field_cell,field_village,field_hiv_status,field_mode_of_delivery,field_number_of_children,field_photo,field_national_id_number,field_phone_number,created
6,Iradukunda Ariella,Ariella,Iradukunda,female,1995-12-31,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-4.jpg,1199270166285559,0715566915,1592244289
7,Iradukunda Ines,Ines,Iradukunda,female,1997-01-31,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-6.jpg,1199270196137691,0736240277,1592244289
8,Iradukunda Anaelle,Anaelle,Iradukunda,female,1998-05-01,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-4.jpg,1199270192154022,0753913276,1592244289
9,Iradukunda Queen,Queen,Iradukunda,female,1995-02-04,4,,,,,,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,,,,mother-4.jpg,1199270168069408,0714857960,1592244289
10,Iradukunda Daniella,Daniella,Iradukunda,female,1987-02-02,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-4.jpg,1199270148625863,0754551150,1592244289
11,Iradukunda Ingrid,Ingrid,Iradukunda,female,1988-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-3.jpg,1199270132524602,0742557129,1592244289
12,Iradukunda Itta,Itta,Iradukunda,female,1992-02-05,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-3.jpg,1199270128258585,0736201047,1592244289
13,Iradukunda Stecy,Stecy,Iradukunda,female,1984-01-04,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-4.jpg,1199270148239495,0790985243,1592244289
14,Iradukunda Olga,Olga,Iradukunda,female,1988-03-02,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-1.jpg,1199270167972281,0764582345,1592244289
15,Iradukunda Gossy,Gossy,Iradukunda,female,1997-02-04,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-2.jpg,1199270104390498,0778701773,1592244289
16,Iradukunda Elisa,Elisa,Iradukunda,female,1996-01-03,5,,,,,,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,,,,mother-3.jpg,1199270196877103,0706431233,1592244289
