Unique ID,First Name,Last Name,Date of Birth,Estimated (Y-N),National ID,Gender,Ubudehe,Education level,Marital Status,HIV Status,Number of Children,Phone,Province,District,Sector,Cell,Village,Health Center
6,Ariella,Iradukunda,31-dec-1995,N,1199270128356057,female,,,,,,0794806678,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
7,Ines,Iradukunda,31-jan-1997,N,1199270104452037,female,,,,,,0733124814,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
8,Anaelle,Iradukunda,01-may-1998,N,1199270156714251,female,,,,,,0763657154,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
9,Queen,Iradukunda,04-feb-1995,N,1199270181345450,female,,,,,,0776421491,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
10,Daniella,Iradukunda,02-feb-1987,N,1199270123949852,female,,,,,,0723124412,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
11,Ingrid,Iradukunda,03-jan-1988,N,1199270108917942,female,,,,,,0700803061,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
12,Itta,Iradukunda,05-feb-1992,N,1199270188065432,female,,,,,,0708873650,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
13,Stecy,Iradukunda,04-jan-1984,N,1199270183115977,female,,,,,,0714570972,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
14,Olga,Iradukunda,02-mar-1988,N,1199270193228432,female,,,,,,0724482588,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
15,Gossy,Iradukunda,04-feb-1997,N,1199270157273998,female,,,,,,0784644922,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
16,Elisa,Iradukunda,03-jan-1996,N,1199270151283759,female,,,,,,0748374472,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
17,Ange,Iradukunda,08-aug-1987,N,1199270151679066,female,,,,,,0779957357,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
18,Daenah,Iradukunda,03-jan-1992,N,1199270164045651,female,,,,,,0767496737,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
19,Benitha,Iradukunda,03-jan-1992,N,1199270100560182,female,,,,,,0707495104,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
20,Ketsia,Iradukunda,03-jan-1992,N,1199270136357619,female,,,,,,0768315110,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
21,Vanessa,Iradukunda,03-jan-1992,N,1199270164704584,female,,,,,,0739358449,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
22,Aurore,Iradukunda,03-jan-1992,N,1199270111982129,female,,,,,,0765633311,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
23,Ollia,Iradukunda,03-jan-1992,N,1199270150247541,female,,,,,,0774271177,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
24,Orietta,Iradukunda,03-jan-1992,N,1199270174581451,female,,,,,,0713351329,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
25,Huguette,Iradukunda,03-jan-1992,N,1199270171909449,female,,,,,,0727164944,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
26,Nadege,Iradukunda,03-jan-1992,N,1199270143128494,female,,,,,,0751314354,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
27,Nadia,Iradukunda,03-jan-1992,N,1199270158114596,female,,,,,,0716063158,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
28,Larissa,Iradukunda,03-jan-1992,N,1199270130014158,female,,,,,,0731741061,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
29,Raissa,Iradukunda,03-jan-1992,N,1199270115529736,female,,,,,,0794328252,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
30,Vanette,Iradukunda,03-jan-1992,N,1199270175485376,female,,,,,,0789845935,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
31,Sylvana,Iradukunda,03-jan-1992,N,1199270190678710,female,,,,,,0794163641,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
32,Kendra,Iradukunda,03-jan-1992,N,1199270186657277,female,,,,,,0794382201,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
33,Ornella,Iradukunda,03-jan-1992,N,1199270184031135,female,,,,,,0791899521,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
34,Eva,Iradukunda,03-jan-1992,N,1199270124408989,female,,,,,,0703992487,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
35,Annet,Iradukunda,03-jan-1992,N,1199270114047740,female,,,,,,0718155400,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
36,Suzan,Iradukunda,03-jan-1992,N,1199270193332048,female,,,,,,0799271826,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
37,Alphonsine,Iradukunda,03-jan-1992,N,1199270170494599,female,,,,,,0797783753,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
38,Marcelline,Iradukunda,03-jan-1992,N,1199270196191149,female,,,,,,0708947087,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
39,Chantal,Iradukunda,03-jan-1992,N,1199270117743225,female,,,,,,0729681618,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,Muhondo Health Center
40,Agnes,Iradukunda,03-jan-1992,N,1199270169857844,female,,,,,,0792580420,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
41,Pamela,Iradukunda,03-jan-1992,N,1199270169350884,female,,,,,,0788146091,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
42,Jeannette,Iradukunda,03-jan-1992,N,1199270161910285,female,,,,,,0707762291,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
43,Antoinette,Iradukunda,03-jan-1992,N,1199270124451049,female,,,,,,0713703368,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
44,Claudette,Iradukunda,03-jan-1992,N,1199270183537705,female,,,,,,0791346862,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
45,Claudine,Iradukunda,03-jan-1992,N,1199270155815156,female,,,,,,0701986737,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
46,Berthe,Iradukunda,03-jan-1992,N,1199270114887927,female,,,,,,0711655839,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
47,Bellancile,Iradukunda,03-jan-1992,N,1199270100438909,female,,,,,,0737479204,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,Nyange Health Center
91,Anaelle,Tuyizere,06-jun-1989,N,1199270192279588,female,,,,,,0700547974,,,,,,Muhondo Health Center
